"Algorithm","k","WSS","Silhouette","CH"
"Hartigan-Wong",2,378209.735062367,0.241700367954114,132.287625238471
"Hartigan-Wong",3,372725.36680821,0.156400519425842,111.520867617269
"Hartigan-Wong",4,368719.58431344,-0.0107412061133264,97.0009456588982
"Hartigan-Wong",5,365817.268525045,-0.0146616822773184,85.2858484199782
"Hartigan-Wong",6,363449.931810326,-0.016074275726068,76.5222184876151
"Hartigan-Wong",7,361292.334353507,-0.0332137168282106,70.1434362090619
"Hartigan-Wong",8,359279.593653297,0.0166855560442071,65.2772007346194
"Hartigan-Wong",9,357527.500856394,-0.0165949751814599,61.0823705577183
"Hartigan-Wong",10,356059.856193108,0.0127290168138499,57.2718771743751
"Hartigan-Wong",11,354393.176546712,-0.0171949436974751,54.6138964880334
"Hartigan-Wong",12,352928.462120835,-0.0455341342795602,52.1210747561777
"Hartigan-Wong",13,351948.576840946,-0.0523969526182534,49.3010752803144
"Hartigan-Wong",14,350383.200296192,-0.0667642335054714,47.7753259927961
"Hartigan-Wong",15,349176.967136556,-0.0605476233363596,45.9953372326036
"Hartigan-Wong",16,348135.015944576,-0.0256505886756732,44.2522885980278
"Hartigan-Wong",17,347222.731080877,-0.0673590619346256,42.5776593678682
"Hartigan-Wong",18,346163.203203844,-0.076399671102552,41.2733069356895
"Hartigan-Wong",19,345116.36560499,-0.0806571641284429,40.106726555453
"Hartigan-Wong",20,344271.409458198,-0.085500292812812,38.8604101112956
"Lloyd",2,378210.229368226,0.241530266026768,132.279560915655
"Lloyd",3,372739.397694774,0.143666393075828,111.403045439059
"Lloyd",4,368740.682531288,-0.010569975985605,96.8802750535149
"Lloyd",5,365864.861643374,-0.0201185485803429,85.0784900625349
"Lloyd",6,363520.406088341,-0.00695062344107851,76.2734258330776
"Lloyd",7,361474.341430393,-0.0228538267191228,69.6018356162716
"Lloyd",8,359850.101815377,0.00733343062159042,63.8075437676518
"Lloyd",9,358408.929087099,-0.0471239680319984,59.0781614687892
"Lloyd",10,356727.410043272,-0.0148976916154234,55.9109132336884
"Lloyd",11,355371.334048615,-0.0237972789513085,52.8040933642756
"Lloyd",12,353921.416539263,-0.0478879656959492,50.437387799343
"Lloyd",13,353864.106660196,0.0145745337342654,46.3154304758417
"Lloyd",14,352216.347468005,-0.0700965588540482,45.1141393946703
"Lloyd",15,351049.982824298,-0.0407008990699153,43.4537741739045
"Lloyd",16,349664.230447393,-0.00447217677867378,42.3024071790276
"Lloyd",17,348804.499044508,-0.0227418261849756,40.6774982255092
"Lloyd",18,348038.383748731,-0.0757098885235834,39.1423637160285
"Lloyd",19,347137.462235782,-0.0749685817170805,37.9256989359124
"Lloyd",20,346692.491671216,-0.0392134808301355,36.3764075620988
"MacQueen",2,378213.150287434,0.213632216485578,132.231908188457
"MacQueen",3,372737.932058874,0.143237034816178,111.415352472692
"MacQueen",4,368737.756642567,-0.011680118283031,96.8970087589689
"MacQueen",5,365908.097020079,-0.0141409700033335,84.8901646996179
"MacQueen",6,363654.320833404,-0.03229789785812,75.8009374261655
"MacQueen",7,361550.65741183,-0.0115335473756964,69.3749035113333
"MacQueen",8,359563.251585501,0.00788081345616075,64.5459010618697
"MacQueen",9,358134.362751217,-0.0486143509093777,59.7014179725019
"MacQueen",10,357113.822658139,-0.0534659457265337,55.125446202325
"MacQueen",11,356487.064329007,0.0110451374079547,50.7518760886753
"MacQueen",12,353900.632264853,-0.0167163392947559,50.4725335033943
"MacQueen",13,354269.9207038,-0.0594031897693238,45.6870521052467
"MacQueen",14,352441.992863825,-0.0266635951938492,44.7884826347068
"MacQueen",15,350806.592754584,-0.0625005474155498,43.7825048035718
"MacQueen",16,349766.289261394,-0.0329116210248995,42.1728802503327
"MacQueen",17,349315.189440221,-0.0429859824854579,40.0676861419225
"MacQueen",18,348217.249763908,-0.0673326179746674,38.9403005093274
"MacQueen",19,348421.633247826,-0.0330447895108156,36.5530565937721
"MacQueen",20,347165.044693303,-0.0780230231825899,35.8956146993253
