"Algorithm","k","WSS","Silhouette","CH"
"Hartigan-Wong",2,1518013.14971653,0.288192453166615,111.255949293425
"Hartigan-Wong",3,1500367.04805013,0.177742947098429,91.7740559815713
"Hartigan-Wong",4,1490584.87918716,0.0131231062507574,74.7780503020943
"Hartigan-Wong",5,1482074.71202775,0.116016533914615,65.0595664615144
"Hartigan-Wong",6,1475519.80965755,0.115283564014876,57.6313407307055
"Hartigan-Wong",7,1469949.4324857,0.0412898227194687,52.0104678066164
"Hartigan-Wong",8,1465176.54157213,-0.0335774498625096,47.5252908737087
"Hartigan-Wong",9,1460794.89872343,-0.0355763169063501,43.9636897561753
"Hartigan-Wong",10,1456464.40521267,-0.0348028498598209,41.1806346195918
"Hartigan-Wong",11,1453329.60224162,0.0284581643500517,38.4367980411094
"Hartigan-Wong",12,1449783.1164724,-0.0368938494906944,36.3627383807575
"Hartigan-Wong",13,1446290.7535716,-0.00308297938982262,34.6202400139929
"Hartigan-Wong",14,1443060.9566729,-0.0242575614635127,33.060827361513
"Hartigan-Wong",15,1440067.29146696,-0.0294345650708964,31.6526959088674
"Hartigan-Wong",16,1436496.32109748,-0.0046055659360504,30.6093730986063
"Hartigan-Wong",17,1433797.9918605,-0.0779317869380088,29.4539542381504
"Hartigan-Wong",18,1430386.06138623,-0.0750970402394675,28.6278445306966
"Hartigan-Wong",19,1428073.6876468,-0.0701674974518089,27.6183223760231
"Hartigan-Wong",20,1424361.9247251,-0.0649511573913389,27.05421544037
"Lloyd",2,1518024.16232037,0.283824808662105,111.211339120826
"Lloyd",3,1500410.55405668,0.166988008047225,91.6838702633391
"Lloyd",4,1490678.30446509,0.0187330479582756,74.6472656661999
"Lloyd",5,1482383.4819846,0.0682860231055608,64.7317531002683
"Lloyd",6,1479301.73624706,0.0782241018086814,54.3987436269906
"Lloyd",7,1470918.71637626,-0.0352618645627904,51.3136054653149
"Lloyd",8,1470346.55959946,-0.0349984858428796,44.3282316692568
"Lloyd",9,1463335.88723259,0.0544599120426615,42.5782942632282
"Lloyd",10,1461774.62632342,-0.0494468405574885,38.5971129525077
"Lloyd",11,1457632.96704974,0.0438986417844229,36.5433816123991
"Lloyd",12,1459311.90296239,0.0455536789008663,32.5470580211024
"Lloyd",13,1458380.6035021,0.0431840417421892,30.1696318405605
"Lloyd",14,1452292.49016556,-0.0611186848847766,29.9041815763429
"Lloyd",15,1451202.63467096,0.00251470437702636,28.1076099261268
"Lloyd",16,1445780.01875954,-0.0455271315690669,27.8340538283924
"Lloyd",17,1446648.79499004,0.011285580693703,25.8483581954612
"Lloyd",18,1444179.89091253,-0.0075134439531358,24.9709947852844
"Lloyd",19,1444611.7474833,-0.0489612095945327,23.4727555870371
"Lloyd",20,1441357.60715822,-0.0648980941749592,22.9991824440021
"MacQueen",2,1518020.89097692,0.286160410480037,111.224590705449
"MacQueen",3,1500401.04078793,0.182735540691026,91.703590334354
"MacQueen",4,1490875.79707316,0.120426812624539,74.3708526937538
"MacQueen",5,1482457.80495682,0.0999413008179356,64.6528666454384
"MacQueen",6,1475917.80883951,0.0328604733910879,57.2903714461912
"MacQueen",7,1472672.77631936,0.0632217151728701,50.0548639156089
"MacQueen",8,1471909.39757741,0.101331536828519,43.3662175275177
"MacQueen",9,1466874.92468705,-0.014402930525661,40.6567411766733
"MacQueen",10,1461899.41481832,-0.0384700232174727,38.5366267341554
"MacQueen",11,1460024.85406945,-0.0462313834958987,35.4958129219986
"MacQueen",12,1456421.37068158,-0.0203856553153212,33.6992589194996
"MacQueen",13,1452890.02798857,-0.0434067924099067,32.1816837764866
"MacQueen",14,1451633.4639762,-0.0526810780615716,30.128199300397
"MacQueen",15,1450309.89763375,-0.0566675264779404,28.3898175189584
"MacQueen",16,1451546.47900367,-0.0547153590756361,26.1280702896668
"MacQueen",17,1447752.3870712,-0.0533543634269705,25.5417039005512
"MacQueen",18,1439589.62143863,-0.0240821968764183,26.1801303794391
"MacQueen",19,1441417.90716706,-0.0646036100364452,24.2659383366215
"MacQueen",20,1441926.48707179,-0.0549229999827018,22.8651056487449
