"Algorithm","k","WSS","Silhouette","CH"
"MacQueen",2,1518020.89097692,0.286160410480037,111.224590705449
"MacQueen",3,1500401.04078793,0.182735540691026,91.703590334354
"MacQueen",4,1490875.79707316,0.120426812624539,74.3708526937538
"MacQueen",5,1482457.80495682,0.0999413008179356,64.6528666454384
"MacQueen",6,1475917.80883951,0.0328604733910879,57.2903714461912
"MacQueen",7,1472672.77631936,0.0632217151728701,50.0548639156089
"MacQueen",8,1471909.39757741,0.101331536828519,43.3662175275177
"MacQueen",9,1466874.92468705,-0.014402930525661,40.6567411766733
"MacQueen",10,1461899.41481832,-0.0384700232174727,38.5366267341554
"MacQueen",11,1460024.85406945,-0.0462313834958987,35.4958129219986
"MacQueen",12,1456421.37068158,-0.0203856553153212,33.6992589194996
"MacQueen",13,1452890.02798857,-0.0434067924099067,32.1816837764866
"MacQueen",14,1451633.4639762,-0.0526810780615716,30.128199300397
"MacQueen",15,1450309.89763375,-0.0566675264779404,28.3898175189584
"MacQueen",16,1451546.47900367,-0.0547153590756361,26.1280702896668
"MacQueen",17,1447752.3870712,-0.0533543634269705,25.5417039005512
"MacQueen",18,1439589.62143863,-0.0240821968764183,26.1801303794391
"MacQueen",19,1441417.90716706,-0.0646036100364452,24.2659383366215
"MacQueen",20,1441926.48707179,-0.0549229999827018,22.8651056487449
