"k","q","Silhouette","CH","ProbSilh"
2,2,-0.000130334805749633,0.965015099035744,0.0464715595706637
3,2,-0.00259581338901332,1.23761221061346,0.0567075799821588
4,2,-0.0095609320115925,1.19844354858043,0.0240437847651874
5,2,-0.0129653479695825,0.918248608463006,0.0136500761319865
2,3,-5.10310114253684e-05,0.9819916633923,0.0527155832450676
3,3,-0.00242450332837399,4.71018333623566,0.0761871346568893
4,3,-0.00363312928521885,0.921516905531586,0.0216071185051262
5,3,-0.0119143846391328,1.02761380268797,0.0131582752539485
2,4,-1.61951847402136e-05,0.986294008938931,0.0384466245747943
3,4,-0.00743196678229555,1.01128319855885,0.0495406850647215
4,4,-0.00456934316327026,1.1794474391538,0.031174151934882
5,4,-0.00839466243810211,0.989338124441964,0.017645423797877
