"k","q","Silhouette","CH","ProbSilh"
2,2,0.000451921897815826,2.04670781655659,0.0774461006175568
3,2,-0.0023535599761523,0.927977561130886,0.0252670177952161
4,2,-0.00552039502325208,0.917869730590397,0.016827156996386
5,2,-0.0150162454987287,0.942552639769232,0.0107619981371426
2,3,-5.90137472677308e-05,0.634618322298165,0.0506099571643814
3,3,-0.00954713005224282,0.959442948872114,0.0279502852629122
4,3,-0.0144700520403427,1.00636831167119,0.0147513906637748
5,3,-0.00636799472338698,1.04080199689853,0.0122013913957305
2,4,0.000417422862529131,1.95662088736906,0.0790693526111341
3,4,-0.00394868503501857,1.10186809384451,0.0332459687672516
4,4,-0.00760690316459642,1.05730877479559,0.0165817701446911
5,4,-0.00604463439039939,1.2467210998059,0.012995685751189
