"file","method","embedding","k","nf","nu","runtime_sec","silhouette","ch","prob_silh","wss","n_obs","status","embedding_dim","embedding_label","model_id"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_64_k2.rds","PD","user_embeddings_64",2,NA,NA,0.287293910980225,0.00276874984944674,10.1368611984019,0.0932536020114262,NA,6040,"ok",64,"64-dimensional","PD__user_embeddings_64__k2"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_64_k3.rds","PD","user_embeddings_64",3,NA,NA,0.39559268951416,-0.00383415649451146,2.33712896909635,0.0366213123847658,NA,6040,"ok",64,"64-dimensional","PD__user_embeddings_64__k3"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_64_k4.rds","PD","user_embeddings_64",4,NA,NA,0.514354467391968,-0.00765578763681128,4.27479070716751,0.0374396622108273,NA,6040,"ok",64,"64-dimensional","PD__user_embeddings_64__k4"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_64_k5.rds","PD","user_embeddings_64",5,NA,NA,0.654360294342041,-0.00797786002442563,2.46817062144796,0.0255639694640833,NA,6040,"ok",64,"64-dimensional","PD__user_embeddings_64__k5"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_64_k6.rds","PD","user_embeddings_64",6,NA,NA,0.680115938186646,-0.0189455123727047,2.91337801276278,0.020766382560287,NA,6040,"ok",64,"64-dimensional","PD__user_embeddings_64__k6"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_64_k7.rds","PD","user_embeddings_64",7,NA,NA,1.13024520874023,-0.0337892479543222,2.03730881413679,0.0172334189482745,NA,6040,"ok",64,"64-dimensional","PD__user_embeddings_64__k7"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_64_k8.rds","PD","user_embeddings_64",8,NA,NA,1.06987428665161,-0.0411667474038991,2.28739062022439,0.0185397699553655,NA,6040,"ok",64,"64-dimensional","PD__user_embeddings_64__k8"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_128_k2.rds","PD","user_embeddings_128",2,NA,NA,0.184180974960327,-0.000100263451993729,0.920009504779618,0.0680478921273399,NA,6040,"ok",128,"128-dimensional","PD__user_embeddings_128__k2"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_128_k3.rds","PD","user_embeddings_128",3,NA,NA,0.367615699768066,-0.00230239770125059,1.15733331001218,0.0314308585394758,NA,6040,"ok",128,"128-dimensional","PD__user_embeddings_128__k3"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_128_k4.rds","PD","user_embeddings_128",4,NA,NA,0.478813409805298,-0.00776029499359161,1.05943382928646,0.028307089554853,NA,6040,"ok",128,"128-dimensional","PD__user_embeddings_128__k4"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_128_k5.rds","PD","user_embeddings_128",5,NA,NA,0.580334424972534,-0.00344507105831894,1.00377286503494,0.0233018706611217,NA,6040,"ok",128,"128-dimensional","PD__user_embeddings_128__k5"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_128_k6.rds","PD","user_embeddings_128",6,NA,NA,0.656488180160522,-0.018342426116718,1.16251807827086,0.017804673274367,NA,6040,"ok",128,"128-dimensional","PD__user_embeddings_128__k6"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_128_k7.rds","PD","user_embeddings_128",7,NA,NA,0.69466757774353,-0.0126601632828006,1.00924806106792,0.0178595527966183,NA,6040,"ok",128,"128-dimensional","PD__user_embeddings_128__k7"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_128_k8.rds","PD","user_embeddings_128",8,NA,NA,0.802778005599976,-0.0333117892587007,1.12063051410904,0.0135300906574719,NA,6040,"ok",128,"128-dimensional","PD__user_embeddings_128__k8"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_256_k2.rds","PD","user_embeddings_256",2,NA,NA,0.258777379989624,-1.81748455036568e-05,1.06608806134381,0.0622255242606143,NA,6040,"ok",256,"256-dimensional","PD__user_embeddings_256__k2"
