"method_pair","n_comparisons","avg_ari","median_ari","max_ari","min_ari"
"KMeans vs RKM",84,0.645514469651561,0.67055377475108,0.995124965209548,0.1397896661674
"FPDC vs RKM",636,0.0614829731103842,0.0442685016023764,0.319967867679981,-0.013719321105061
"FPDC vs KMeans",159,0.0568146056205373,0.0408396247272262,0.32066764892378,-0.0112427606966716
"FPDC vs PD",159,0.00573383337196888,0.00027469954025491,0.0476034100139394,-0.000370900645424253
"PD vs RKM",84,0.000731915502490985,-1.85737293863581e-05,0.0145009901095579,-0.000982110851931261
"KMeans vs PD",21,0.000673016914425111,-2.22838753380341e-05,0.00594576057115406,-0.000931523587462565
