"Method","Embedding file","Embedding dimension","Number of clusters (k)","Reduced dimension (q)","Tuning parameter (nu)","Runtime (seconds)","Average silhouette width","Calinski-Harabasz index","Probability silhouette","Within-cluster sum of squares","Status"
"FPDC","user_embeddings_256",256,5,5,6,174.0476,-0.021,17.9654,0.0583,NA,"ok"
"FPDC","user_embeddings_256",256,5,5,10,58.7284,-0.006,18.2561,0.0582,NA,"ok"
"FPDC","user_embeddings_256",256,6,2,6,202.6667,-0.1183,32.6834,0.1121,NA,"ok"
"FPDC","user_embeddings_256",256,6,2,10,84.1772,-0.1103,32.9012,0.1102,NA,"ok"
"FPDC","user_embeddings_256",256,6,3,6,203.5736,-0.2156,34.9076,0.1032,NA,"ok"
"FPDC","user_embeddings_256",256,6,3,10,70.7382,-0.2089,33.9228,0.1482,NA,"ok"
"FPDC","user_embeddings_256",256,6,4,6,180.4674,-0.0415,20.833,0.0709,NA,"ok"
"FPDC","user_embeddings_256",256,6,4,10,66.9134,-0.0146,21.2169,0.0807,NA,"ok"
"FPDC","user_embeddings_256",256,6,5,6,175.8309,-0.0072,11.9417,0.056,NA,"ok"
"FPDC","user_embeddings_256",256,6,5,10,60.8727,-0.0086,13.3668,0.0563,NA,"ok"
"FPDC","user_embeddings_256",256,7,2,6,207.1916,-0.1113,31.2608,0.1012,NA,"ok"
"FPDC","user_embeddings_256",256,7,2,10,79.223,-0.1042,31.2229,0.0965,NA,"ok"
"FPDC","user_embeddings_256",256,7,4,6,183.7525,-0.0403,16.7315,0.0656,NA,"ok"
"FPDC","user_embeddings_256",256,7,4,10,68.9261,-0.0257,17.444,0.0586,NA,"ok"
"FPDC","user_embeddings_256",256,7,5,6,179.5823,-0.0153,8.344,0.0531,NA,"ok"
"FPDC","user_embeddings_256",256,7,5,10,65.8183,-0.0252,7.4754,0.0494,NA,"ok"
"FPDC","user_embeddings_256",256,8,2,6,203.8051,-0.1536,27.6238,0.098,NA,"ok"
"FPDC","user_embeddings_256",256,8,2,10,91.5955,-0.1421,27.8143,0.1059,NA,"ok"
"FPDC","user_embeddings_256",256,8,3,6,208.6714,-0.2165,25.1192,0.1173,NA,"ok"
"FPDC","user_embeddings_256",256,8,4,6,190.2906,-0.0562,14.6444,0.0554,NA,"ok"
"FPDC","user_embeddings_256",256,8,4,10,71.0152,-0.0341,14.8711,0.0647,NA,"ok"
"FPDC","user_embeddings_256",256,8,5,6,184.7983,-0.0349,7.3168,0.0487,NA,"ok"
"FPDC","user_embeddings_256",256,8,5,10,66.0865,-0.0378,7.304,0.0565,NA,"ok"
