"embedding","embedding_dim","embedding_label","k","silhouette","ch","runtime_sec","WSS"
"user_embeddings_64",64,"64-dimensional",2,0.237184077257088,132.281379616278,3.57625555992126,378210.117890134
"user_embeddings_64",64,"64-dimensional",3,0.155350579439048,111.470346523853,4.37771344184875,372731.382997182
"user_embeddings_64",64,"64-dimensional",4,-0.0108456961016747,96.957507222613,7.35366463661194,368727.17887242
"user_embeddings_64",64,"64-dimensional",5,-0.0104492509780172,85.109904558833,9.79872918128967,365857.65055769
"user_embeddings_64",64,"64-dimensional",6,-0.0208336384584436,76.3925806681466,11.6432061195374,363486.650271262
"user_embeddings_64",64,"64-dimensional",7,0.0370716806669454,70.1704680415883,13.5380420684814,361283.254998663
"user_embeddings_64",64,"64-dimensional",8,0.0110630181220597,64.7091625715425,16.4647524356842,359499.886566638
"user_embeddings_128",128,"128-dimensional",2,0.328589001338432,139.511776483114,5.95046520233154,755534.892506039
"user_embeddings_128",128,"128-dimensional",3,0.217746554869212,113.019062388712,8.73291063308716,745094.091881454
"user_embeddings_128",128,"128-dimensional",4,-0.0098158967604663,91.2106349289915,12.7167797088623,739469.398913772
"user_embeddings_128",128,"128-dimensional",5,0.195069632947082,79.2081719059461,17.2769365310669,734434.760709213
"user_embeddings_128",128,"128-dimensional",6,-0.0222032230423528,70.7888591632384,23.2584390640259,730161.928784325
"user_embeddings_128",128,"128-dimensional",7,-0.0016723980479411,63.1288830049208,27.1013066768646,727327.763979619
"user_embeddings_128",128,"128-dimensional",8,-0.00314030814408256,57.4692500817486,31.8469791412354,724662.946193875
"user_embeddings_256",256,"256-dimensional",2,0.286757737607072,111.240816327282,14.0303809642792,1518016.885469
"user_embeddings_256",256,"256-dimensional",3,0.173148673730023,91.7408675991358,18.4895029067993,1500383.05798555
"user_embeddings_256",256,"256-dimensional",4,0.0255906257046033,74.77418796462,23.4549040794373,1490587.63805867
"user_embeddings_256",256,"256-dimensional",5,0.142182949298983,64.8469525315984,29.6180148124695,1482274.96008267
"user_embeddings_256",256,"256-dimensional",6,0.0533246363397442,57.0614774655819,36.9472823143005,1476185.10767594
"user_embeddings_256",256,"256-dimensional",7,-0.00897238917129043,50.8743417278216,46.1186938285828,1471530.35680273
"user_embeddings_256",256,"256-dimensional",8,0.0904326323729013,46.0357518097793,57.2580718994141,1467580.76917224
