"Method","k","Silhouette","CH"
"PD",2,0.00240691352805328,8.41330623063109
"PD",3,-0.0101086320977297,1.81484728319858
"PD",4,-0.00820937275019905,3.69818315660373
"PD",5,-0.00907611876552866,2.05700622401024
"PD",6,-0.00927408877916835,2.40886616809425
"PD",7,-0.0215878630638168,2.57379939534003
"PD",8,-0.0382524027842724,1.74568227217191
"PD",9,-0.0532478516534973,2.34426581676435
"PD",10,-0.0515159828188188,1.81741639700061
"PD",11,-0.0507725519659486,1.98845123240316
"PD",12,-0.0582728253530758,1.83617257971827
"PD",13,-0.0679601933651054,1.91394946850077
"PD",14,-0.0657482246152049,1.66278311700489
"PD",15,-0.0730273681528329,1.78216547539825
"PD",16,-0.0782757797567924,1.63599587913881
"PD",17,-0.026402193976352,0.923195213845479
"PD",18,-0.0837271722989691,1.6931310316134
"PD",19,-0.0349561633286491,1.02131508454277
"PD",20,-0.0354978067546659,0.99164732445904
