"k","q","Silhouette","CH","ProbSilh"
2,2,2.51052704038673e-05,0.830889919983869,0.0627273903980714
3,2,-0.00558524617433439,3.37419249061461,0.0623257916938742
4,2,-0.00948512256593922,0.914392831100569,0.0158306410248593
5,2,-0.00636782953961464,0.942653047491877,0.0144219965995765
2,3,-2.54818302267944e-05,1.03473597636074,0.0513129240833338
3,3,-0.00777375336643892,1.14340596624726,0.0553018950476043
4,3,-0.00260466750263804,1.16735499047324,0.0226890991948286
5,3,-0.0115415160402483,1.05001090416809,0.0144071755264294
2,4,0.000201244829978842,0.755813574096325,0.0457093139127433
3,4,-0.00260383798029378,0.915078949753122,0.0471592224144869
4,4,-0.00495452796677957,0.881341234597799,0.0213209919979547
5,4,-0.00686740423994959,1.02742285187036,0.0197857949577882
