"k","q","asw"
2,2,0.292045642823201
3,2,0.177512988276169
4,2,0.122354953931717
5,2,0.119485786535138
6,2,0.123577497486836
7,2,-0.0341237520028836
8,2,-0.0223052804266223
9,2,-0.00184415697914122
10,2,0.00498222647274568
2,3,0.28753157888064
3,3,0.180352932473963
4,3,0.0192272454555122
5,3,0.12997676485938
6,3,0.114575584097006
7,3,-0.00899558947132043
8,3,-0.0104361468767184
9,3,0.0117260059052729
10,3,-0.0561753810587234
2,4,0.288958141237184
3,4,0.178218342880027
4,4,0.0245717564682647
5,4,0.130052060398456
6,4,0.117981573376892
7,4,0.0294988649045183
8,4,0.0352715535861932
9,4,0.0274320805378236
10,4,0.0270174753431552
2,5,0.290717764239668
3,5,0.179268712664602
4,5,0.00178295656959146
5,5,0.109467356844149
6,5,0.112396083526054
7,5,-0.0395964381455697
8,5,-0.0285912397812028
9,5,-0.0595235985539994
10,5,0.0302520752733226
2,6,0.288565167191031
3,6,0.178391845236422
4,6,0.00153871520711371
5,6,0.119490149956493
6,6,0.11978393302092
7,6,-0.0439880872454495
8,6,0.0461574626599824
9,6,-0.0261114524604527
10,6,-0.0150092716752357
