"k","q","asw"
2,2,0.331820839698343
3,2,0.220305315119239
4,2,0.158982713342041
5,2,0.135995571539054
6,2,0.0942118677238997
7,2,0.0867562610508436
8,2,-0.0462126833096726
9,2,-0.0466339713526868
10,2,-0.00326040406535992
2,3,0.331820839698343
3,3,0.213323138086158
4,3,-0.0105502804717368
5,3,0.122437070468157
6,3,-0.0229211187678761
7,3,-0.0356980755555539
8,3,-0.0489959325693633
9,3,-0.0462893936717549
10,3,-0.050022233714188
2,4,0.331820839698343
3,4,0.21495652869815
4,4,-0.0123292909130755
5,4,0.123360032175407
6,4,-0.0244115682340208
7,4,-0.0205899630817484
8,4,-0.0470846335699978
9,4,-0.0378909858192917
10,4,-0.0318960282118237
2,5,0.331860280480119
3,5,0.212844002050384
4,5,-0.0101341076965226
5,5,0.137055694459379
6,5,-0.0259770942073901
7,5,-0.0247352201514501
8,5,-0.0305845479955747
9,5,-0.0379993928433647
10,5,-0.0528811102940299
2,6,0.331820839698343
3,6,0.220716357054249
4,6,-0.0111084784435218
5,6,0.12501203980878
6,6,-0.0283826268407597
7,6,-0.0346801880901412
8,6,-0.0473310690452434
9,6,-0.0489576212295465
10,6,-0.0356304318370628
